Core no. ,Sample,Shifted Depth,Depth,"Kg, hor.","1/Pm, hor.","Kl, hor","Kg, vert.","1/Pm, vert.","Kl, vert.","Por., hor.","Por., vert.",Por. sum.,So,Sw,Gr.dens.,Gr.dens.,Lithological description
2,87,3856.2,3856,0.018,0.495,0.01,  ,  ,  ,3.3,  ,  ,  ,  ,2.76,  ,A.A.incr Dol. 
2,88,3856.4,3856.2,0.584,0.495,0.384,  ,  ,  ,8.5,  ,  ,  ,  ,2.71,  ,A.A. 
2,89,3856.6,3856.4,20.3,0.746,17,20.4,0.71,17.3,18.3,  ,  ,  ,  ,2.66,  ,"A.A.P-srt.decr Pyr,Dol. "
2,90,3856.95,3856.75,38.6,0.855,33,  ,  ,  ,21,  ,  ,  ,  ,2.64,  ,A.A.Denne pluggen må du Geir ta en titt på!!!! 
2,91,3857.13,3856.93,  ,  ,  ,  ,  ,  ,  ,19.1,  ,48.5,30.1,  ,2.63, 
2,92,3857.2,3857,15,0.662,12.6,  ,  ,  ,18.2,  ,  ,  ,  ,2.65,  ,A.A.Cl-lam. 
2,93,3857.45,3857.25,214,0.968,195,  ,  ,  ,23.4,  ,  ,  ,  ,2.64,  ,A.A.Styl.w/o Cl-lam. 
2,94,3857.7,3857.5,250,0.967,229,99.3,0.907,88.5,29.1,  ,  ,  ,  ,2.63,  ,A.A.Fr-srt. 
2,95,3857.95,3857.75,80.1,0.907,70.6,  ,  ,  ,22.1,  ,  ,  ,  ,2.64,  ,A.A. 
2,96,3858.1,3857.9,  ,  ,  ,  ,  ,  ,  ,22.9,  ,66.4,17,  ,2.65, 
2,97,3858.2,3858,104,0.907,92.5,  ,  ,  ,21,  ,  ,  ,  ,2.65,  ,A.A. 
2,98,3858.4,3858.2,5.92,0.495,4.89,  ,  ,  ,15.8,  ,  ,  ,  ,2.66,  ,A.A. 
2,99,3858.6,3858.4,21,0.746,17.7,48.1,0.83,41.8,18.7,  ,  ,  ,  ,2.71,  ,"A.A.incr Pyr,Calc. "
2,100,3858.95,3858.75,36,0.808,30.9,  ,  ,  ,14.7,  ,  ,  ,  ,2.69,  ,A.A.F/M-gr.incr Dol.decr Pyr. 
2,101,3859.11,3858.91,  ,  ,  ,  ,  ,  ,  ,18.9,  ,67.7,22.3,  ,2.66, 
2,102,3859.2,3859,95.9,0.907,85.3,  ,  ,  ,20.3,  ,  ,  ,  ,2.66,  ,A.A.decr Dol. 
2,103,3859.45,3859.25,40.7,0.83,35.1,  ,  ,  ,19.1,  ,  ,  ,  ,2.66,  ,"A.A.fis.incr Pyr,C. "
2,104,3859.7,3859.5,NMP ,  ,NMP ,26.8,0.746,22.9,18.1,  ,  ,  ,  ,2.65,  ,"A.A.F-gr.Styl.decr Pyr,C. "
2,105,3859.95,3859.75,20.6,0.746,17.3,  ,  ,  ,19.9,  ,  ,  ,  ,2.63,  ,A.A.w/o fis.decr Calc. 
2,106,3860.09,3859.89,  ,  ,  ,  ,  ,  ,  ,22.2,  ,68,16.6,  ,2.65, 
2,107,3860.2,3860,20800,0.999,20500,  ,  ,  ,23.6,  ,  ,  ,  ,2.64,  ,A.A.Crs-gr.Sb-rndd.Fr-cmt.w/o Styl. 
2,108,3860.35,3860.15,20400,0.999,20100,  ,  ,  ,22.9,  ,  ,  ,  ,2.64,  ,A.A. 
2,109,3861.5,3861.3,2480,0.996,2390,  ,  ,  ,23.5,  ,  ,  ,  ,2.64,  ,A.A.M-gr. 
2,110,3861.9,3861.7,5230,0.998,5090,  ,  ,  ,33.8,  ,  ,  ,  ,2.64,  ,A.A.M/Crs-gr. 
2,111,3862.1,3861.9,  ,  ,  ,  ,  ,  ,  ,23.3,  ,77,8.5,  ,2.63, 
2,112,3862.2,3862,3780,0.996,3660,  ,  ,  ,25,  ,  ,  ,  ,2.65,  ,A.A.M-gr.incr Pyr. 
2,113,3862.4,3862.2,6260,0.998,6100,  ,  ,  ,24.4,  ,  ,  ,  ,2.63,  ,A.A.Sb-ang.decr Pyr. 
2,114,3862.6,3862.4,6930,0.998,6760,3690,0.996,3580,33.1,  ,  ,  ,  ,2.63,  ,A.A. 
2,115,3862.85,3862.65,4950,0.998,4820,  ,  ,  ,24.1,  ,  ,  ,  ,2.64,  ,A.A. 
2,116,3863.02,3862.82,  ,  ,  ,  ,  ,  ,  ,24.6,  ,80,5.9,  ,2.65, 
2,117,3863.2,3863,2270,0.994,2180,  ,  ,  ,24.8,  ,  ,  ,  ,2.63,  ,A.A. 
2,118,3867.2,3867,6430,0.998,6270,  ,  ,  ,22.9,  ,  ,  ,  ,2.64,  ,A.A.M/Crs-gr.P-srt. 
2,119,3867.35,3867.15,4950,0.997,4810,  ,  ,  ,21.1,  ,  ,  ,  ,2.65,  ,A.A.Crs-gr. 
2,120,3868.2,3868,1540,0.993,1480,  ,  ,  ,18.1,  ,  ,  ,  ,2.67,  ,A.A.M/Crs-gr.C-lam.incr Pyr. 
2,121,3868.45,3868.25,5410,0.998,5270,  ,  ,  ,22.2,  ,  ,  ,  ,2.64,  ,A.A.M-gr.w/o C-lam.decr Pyr. 
2,122,3868.9,3868.7,7150,0.999,6980,  ,  ,  ,22.3,  ,  ,  ,  ,2.66,  ,A.A.incr Pyr. 
2,123,3869.11,3868.91,  ,  ,  ,  ,  ,  ,  ,23.4,  ,73.9,6.3,  ,2.65, 
2,124,3869.2,3869,6470,0.998,6310,  ,  ,  ,23.3,  ,  ,  ,  ,2.66,  ,A.A.Fr-srt. 
2,125,3869.45,3869.25,9350,0.999,9150,  ,  ,  ,25,  ,  ,  ,  ,2.64,  ,A.A.decr Pyr. 
2,126,3869.7,3869.5,10000,0.999,9810,8050,0.998,7860,33.8,  ,  ,  ,  ,2.65,  ,A.A. 
2,127,3869.95,3869.75,8290,0.999,8110,  ,  ,  ,23.8,  ,  ,  ,  ,2.64,  ,A.A. 
2,128,3870.11,3869.91,  ,  ,  ,  ,  ,  ,  ,25,  ,83.2,5.4,  ,2.64, 
2,129,3870.2,3870,8790,0.998,8600,  ,  ,  ,24.1,  ,  ,  ,  ,2.65,  ,A.A. 
